CaseNo,Crime Type,Crime Category,Occurred On,Occurred Between,Block Address,Disposition,x,y
PD250002478,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,1/23/2025 8:12 上午,,15000 RENTON CT,Exception,11808375.21,6908577.97
PD250002479,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,Property,1/23/2025 8:00 上午,,10000 PORTSMOUTH RD,Inactive,11768269.79,6969421.395
PD250002485,AGGRAVATED ASSAULT,Violent,1/23/2025 8:00 上午,,2100 PORT POTOMAC AVE,Arrest,11831892.56,6903303.536
PD250002541,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,1/23/2025 8:00 上午,,8400 AUBREY DR,Inactive,11781321.87,6969887.334
PD250002565,BURGLARY,Property,1/23/2025 8:00 上午,1/23/2025 4:10 下午,15000 BRICKWOOD DR,Inactive,11822473.29,6912233.994
PD250002563,SHOPLIFTING,Property,1/23/2025 6:37 上午,,5500 STAPLES MILL PLZ,Inactive,11805004.44,6915603.195
PD250002536,EXTORTION/BLACKMAIL,Property,1/23/2025 12:54 上午,,12000 DUNBARTON DR,Inactive,11744757.58,6956335.028
PD250002476,MOTOR VEHICLE THEFT,Property,1/23/2025 12:04 上午,,4300 KENWOOD DR,Inactive,11815817.13,6928766.605
PD250002526,DRIVING UNDER THE INFLUENCE,Quality of Life,1/23/2025 12:00 上午,,Balls Ford Rd / Sudley Rd,Arrest,11762686.8,6975118.335
PD250002552,DRIVING UNDER THE INFLUENCE,Quality of Life,1/23/2025 12:00 上午,,11000 NELLINGS PL,Arrest,11817086.87,6941457.374
PD250002879,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,1/23/2025 12:00 上午,1/24/2025 12:00 上午,15000 ROLLING RIDGE RD,Inactive,11729470.23,7021955.22
PD250002886,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,1/23/2025 12:00 上午,,4500 JENNIFER LN,Inactive,11715749.06,6998319.977
PD250003282,SIMPLE ASSAULT,Violent,1/23/2025 12:00 上午,,13000 ALISON ST,Arrest,11836765.63,6927707.393
PD250005582,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,Property,1/23/2025 12:00 上午,2/13/2025 12:00 上午,13000 MINNIEVILLE RD,Inactive,11829300.28,6929007.321
PD250002471,SIMPLE ASSAULT,Violent,1/22/2025 11:30 下午,,14000 MERIDIAN DR,Arrest,11837199.91,6918195.376
PD250002512,THEFT FROM MOTOR VEHICLE,Property,1/22/2025 9:30 下午,1/23/2025 12:01 上午,13000 KENDALE CT,Inactive,11813954.15,6928436.259
PD250002393,SIMPLE ASSAULT,Violent,1/22/2025 9:17 下午,,16000 HENDERSON LN,Exception,11814772.45,6904652.812
PD250002503,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,1/22/2025 8:00 下午,1/23/2025 10:58 上午,13000 DELANEY RD,Inactive,11809001.64,6928779.737
PD250002690,MOTOR VEHICLE THEFT,Property,1/22/2025 8:00 下午,1/25/2025 7:30 上午,2700 LANDINGS POINT LOOP,Inactive,11826857.59,6908095.272
PD250002384,SHOPLIFTING,Property,1/22/2025 7:40 下午,,9400 LIBERIA AVE,Arrest,11782498.19,6958311.579
PD250002383,SIMPLE ASSAULT,Violent,1/22/2025 6:33 下午,,8700 SUDLEY RD,Arrest,11772315.99,6964123.072
PD250002388,SHOPLIFTING,Property,1/22/2025 5:50 下午,,2700 POTOMAC MILLS CIR,Inactive,11826041.73,6918486.143
PD250002375,THEFT FROM BUILDING,Property,1/22/2025 4:53 下午,,15000 BANJO CT,Inactive,11822915.99,6910583.877
PD250007556,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,1/22/2025 4:47 下午,,11000 LIVINGSTON RD,Arrest,11752062.18,6968931.567
PD250002365,SIMPLE ASSAULT,Violent,1/22/2025 4:39 下午,,15000 CHICACOAN DR,Unfounded,11831263.88,6909710.46
PD250003266,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,1/22/2025 4:37 下午,,7500 BROKEN BRANCH LN,Arrest,11763755.38,6972995.303
PD250007553,SHOPLIFTING,Property,1/22/2025 4:29 下午,,13000 GATEWAY CENTER DR,Arrest,11738631.13,6973200.128
PD250002369,PORNOGRAPHY/OBSCENE MATERIAL,Quality of Life,1/22/2025 4:07 下午,,2800 WOODMARK DR,Inactive,11825882.8,6901614.793
PD250002641,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,1/22/2025 4:00 下午,,7900 CALVARY CT,Inactive,11760004.03,6970136.263
PD250002362,DRUG/NARCOTIC VIOLATION,Quality of Life,1/22/2025 3:30 下午,,Main St / Washington St,Inactive,11818352.11,6891825.657
PD250002492,THEFT FROM MOTOR VEHICLE,Property,1/22/2025 3:00 下午,1/23/2025 4:30 上午,1600 DOROTHY LN,Inactive,11835707.51,6916655.077
PD250003631,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,1/22/2025 2:18 下午,,13000 CENTERPOINTE WAY,Arrest,11815645,6928187.99
PD250002358,STOLEN PROPERTY OFFENSE,Property,1/22/2025 2:15 下午,,14000 GEMSTONE DR,Inactive,11835287.17,6918020.731
PD250300220,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,1/22/2025 2:00 下午,1/22/2025 7:19 下午,10000 MOORE DR,Inactive,11786937.93,6953328.996
PD250005397,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,1/22/2025 1:52 下午,,1900 DANIEL STUART SQ,Exception,11833124.73,6915128.753
PD250005403,SHOPLIFTING,Property,1/22/2025 1:18 下午,,9900 SOWDER VILLAGE SQ,Exception,11758601.1,6953667.565
PD250002345,SHOPLIFTING,Property,1/22/2025 12:30 下午,,7100 SUDLEY RD,Inactive,11762438.97,6975725.205
PD250002342,SHOPLIFTING,Property,1/22/2025 12:26 下午,,2700 POTOMAC MILLS CIR,Arrest,11826041.73,6918486.143
PD250002474,MOTOR VEHICLE THEFT,Property,1/22/2025 12:15 下午,1/23/2025 3:21 上午,10000 PARADISE CT,Inactive,11765436.14,6972743.784
