CaseNo,Crime Type,Crime Category,Occurred On,Occurred Between,Block Address,Disposition,x,y
PD250300574,SHOPLIFTING,Property,5/24/2025 2:21 下午,5/24/2025 2:28 下午,7400 STREAM WALK LN,Arrest,11761257.97,6974737.862
PD250018387,DRIVING UNDER THE INFLUENCE,Quality of Life,5/24/2025 2:05 下午,,Richmond Hwy / Featherstone Rd,Arrest,11834450.33,6917348.478
PD250018403,SIMPLE ASSAULT,Violent,5/24/2025 2:00 下午,,11000 BLACKBURN COVE LN,Arrest,11761060.92,6973907.604
PD250019498,THEFT FROM MOTOR VEHICLE,Property,5/24/2025 2:00 下午,,2900 DALE BLVD,Inactive,11825712.94,6913799.739
PD250300586,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,5/24/2025 1:56 下午,5/25/2025 4:00 下午,4600 BONNEVILLE LN,Inactive,11811479.24,6914470.364
PD250018385,SIMPLE ASSAULT,Violent,5/24/2025 1:05 下午,,8500 VIRGINIA MEADOWS DR,Inactive,11752916.52,6966014.193
PD250018382,CREDIT CARD/ATM FRAUD,Property,5/24/2025 1:00 下午,,14000 ALTUS CT,Inactive,11834789.75,6914534.312
PD250018399,SHOPLIFTING,Property,5/24/2025 12:38 下午,,2700 POTOMAC MILLS CIR,Inactive,11826041.73,6918486.143
PD250018629,CREDIT CARD/ATM FRAUD,Property,5/24/2025 12:00 下午,,14000 MADRIGAL DR,Inactive,11820703.7,6921868.177
PD250018376,MOTOR VEHICLE THEFT,Property,5/24/2025 10:08 上午,,10000 DUMFRIES RD,Inactive,11776305.59,6954465.937
PD250018364,SIMPLE ASSAULT,Violent,5/24/2025 9:18 上午,,8300 SUDLEY RD,Exception,11767196.98,6966790.867
PD250018365,SIMPLE ASSAULT,Violent,5/24/2025 9:00 上午,,4300 HEMINGWAY DR,Unfounded,11815855.71,6926379.366
PD250019686,THEFT FROM BUILDING,Property,5/24/2025 9:00 上午,5/24/2025 10:30 上午,17000 RICHMOND HWY,Inactive,11823015.25,6897253.401
PD250018625,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,5/24/2025 6:45 上午,5/26/2025 6:00 下午,7600 BLAND DR,Inactive,11768329.9,6972706.286
PD250018309,SIMPLE ASSAULT,Violent,5/24/2025 3:45 上午,,4600 DAISY REID AVE,Inactive,11812263.49,6932289.644
PD250018304,ARSON,Property,5/24/2025 1:40 上午,,14000 RICHMOND HWY,Arrest,11836714.04,6921921.867
PD250018357,MOTOR VEHICLE THEFT,Property,5/24/2025 1:30 上午,,8000 SUDLEY RD,Inactive,11764420.86,6969779.756
PD250018303,MOTOR VEHICLE THEFT,Property,5/24/2025 1:08 上午,5/24/2025 1:40 上午,Sudley Manor Dr / Copeland Dr,Inactive,11765936.85,6972025.815
PD250018308,SIMPLE ASSAULT,Violent,5/24/2025 1:00 上午,,14000 COLCHESTER RD,Arrest,11836244.05,6917761.593
PD250018435,SIMPLE ASSAULT,Violent,5/24/2025 12:46 上午,,15000 SPYGLASS HILL LOOP,Unfounded,11724323.01,6967912.051
PD250018293,BURGLARY,Property,5/24/2025 12:08 上午,,14000 ILLINOIS RD,Inactive,11837712.58,6914095.617
PD250018295,SIMPLE ASSAULT,Violent,5/24/2025 12:00 上午,,14000 DELTA CT,Arrest,11817070.02,6915836.634
PD250018298,DRIVING UNDER THE INFLUENCE,Quality of Life,5/24/2025 12:00 上午,,Old Bridge Rd / Rolling Brook Dr,Arrest,11834379.6,6931870.891
PD250018302,DRIVING UNDER THE INFLUENCE,Quality of Life,5/24/2025 12:00 上午,,Beacon Ridge Dr / Richmond Hwy,Arrest,11831762.32,6912715.597
PD250018310,DRIVING UNDER THE INFLUENCE,Quality of Life,5/24/2025 12:00 上午,,Waterfall Rd / Mountain View Dr,Arrest,11721367.28,6998466.156
PD250018392,DISORDERLY CONDUCT,Quality of Life,5/24/2025 12:00 上午,,Richmond Hwy / Featherstone Rd,Arrest,11834450.33,6917348.478
PD250018422,DRIVING UNDER THE INFLUENCE,Quality of Life,5/24/2025 12:00 上午,,Fairmont Ave / Spruance Ct,Arrest,11770188.21,6968228.25
PD250018440,DRIVING UNDER THE INFLUENCE,Quality of Life,5/24/2025 12:00 上午,,7400 BULL RUN RD,Arrest,11777982.57,6974327.805
PD250018443,DISORDERLY CONDUCT,Quality of Life,5/24/2025 12:00 上午,,7900 MEADOW CT,Arrest,11768008.04,6968130.699
PD250018445,DRIVING UNDER THE INFLUENCE,Quality of Life,5/24/2025 12:00 上午,,4000 PRINCE WILLIAM PKWY,Arrest,11816751.64,6927624.098
PD250018446,DRIVING UNDER THE INFLUENCE,Quality of Life,5/24/2025 12:00 上午,,7700 DONEGAN DR,Arrest,11763122.11,6972329.296
PD250018738,SHOPLIFTING,Property,5/24/2025 12:00 上午,,2400 PRINCE WILLIAM PKWY,Exception,11829403.63,6923662.961
PD250018780,THEFT FROM BUILDING,Property,5/24/2025 12:00 上午,5/28/2025 12:00 上午,3900 SOLSTICE LN,Inactive,11818903.67,6901866.947
PD250018928,CREDIT CARD/ATM FRAUD,Property,5/24/2025 12:00 上午,5/26/2025 12:00 上午,4900 BREEZE WAY,Exception,11809754.76,6909806.763
PD250018291,SIMPLE ASSAULT,Violent,5/23/2025 11:30 下午,,10000 PALE ROSE LOOP,Arrest,11748530.88,6952523.703
PD250018359,INTIMIDATION,Violent,5/23/2025 10:53 下午,5/24/2025 6:00 上午,8100 MARY JANE DR,Arrest,11783791.89,6925320.671
PD250023789,INTIMIDATION,Violent,5/23/2025 10:42 下午,6/28/2025 7:34 下午,9300 LEE AVE,Exception,11774274.01,6958467.993
PD250024316,AGGRAVATED ASSAULT,Violent,5/23/2025 10:00 下午,,8100 COMMUNITY DR,Arrest,11768743.21,6968008.536
PD250018281,"FAMILY OFFENSES, NONVIOLENT",Quality of Life,5/23/2025 9:00 下午,,6700 PINCHOT LN,Unfounded,11721444.53,6980419.841
PD250018704,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,5/23/2025 8:45 下午,,4000 PRESIDENTIAL HILL LOOP,Inactive,11816702.14,6893484.067
PD250018276,DRUG/NARCOTIC VIOLATION,Quality of Life,5/23/2025 8:00 下午,,2800 WOODMARK DR,Arrest,11825882.8,6901614.793
PD250018955,PORNOGRAPHY/OBSCENE MATERIAL,Quality of Life,5/23/2025 8:00 下午,5/28/2025 10:45 下午,9800 FAIRMONT AVE,Arrest,11770280.07,6969377.299
PD250018269,SHOPLIFTING,Property,5/23/2025 7:52 下午,,5300 DALE BLVD,Inactive,11806391.17,6925250.26
PD250018273,ALL OTHER LARCENY,Property,5/23/2025 7:30 下午,,2200 CULPEPER DR,Inactive,11831489.13,6921376.845
PD250018493,SHOPLIFTING,Property,5/23/2025 7:30 下午,,9900 SOWDER VILLAGE SQ,Arrest,11758601.1,6953667.565
PD250018265,SHOPLIFTING,Property,5/23/2025 6:51 下午,,13000 FOULGER SQ,Arrest,11824142.77,6923502.195
PD250018681,CREDIT CARD/ATM FRAUD,Property,5/23/2025 6:37 下午,,15000 POTOMAC TOWN PL,Inactive,11829103.28,6914598.003
PD250018262,ALL OTHER LARCENY,Property,5/23/2025 6:06 下午,,14000 VETERANS DR,Arrest,11840147.68,6918577.672
PD250018282,INTIMIDATION,Violent,5/23/2025 5:57 下午,,15000 BAMBI CT,Arrest,11822983.01,6910732.415
PD250018366,SHOPLIFTING,Property,5/23/2025 5:15 下午,,2400 PRINCE WILLIAM PKWY,Inactive,11829403.63,6923662.961
PD250300540,SHOPLIFTING,Property,5/23/2025 5:13 下午,5/23/2025 5:15 下午,14000 SMOKETOWN RD,Inactive,11825083.62,6920228.059
PD250019252,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,5/23/2025 5:06 下午,,1900 DANIEL STUART SQ,Arrest,11833124.73,6915128.753
PD250018688,THEFT FROM BUILDING,Property,5/23/2025 5:00 下午,5/25/2025 8:00 下午,2200 OPITZ BLVD,Inactive,11831398.88,6915909.639
PD250018255,SHOPLIFTING,Property,5/23/2025 4:49 下午,,2700 POTOMAC MILLS CIR,Arrest,11826041.73,6918486.143
PD250018279,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,5/23/2025 4:43 下午,,5500 STAPLES MILL PLZ,Inactive,11805004.44,6915603.195
PD250018270,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,5/23/2025 4:20 下午,,9300 LEE AVE,Arrest,11774274.01,6958467.993
PD250018246,SIMPLE ASSAULT,Violent,5/23/2025 4:00 下午,,16000 ALEXANDER PL,Arrest,11814722.53,6904913.584
PD250018693,SHOPLIFTING,Property,5/23/2025 3:59 下午,,2400 PRINCE WILLIAM PKWY,Arrest,11829403.63,6923662.961
PD250018271,CREDIT CARD/ATM FRAUD,Property,5/23/2025 3:55 下午,,14000 CANNONDALE WAY,Inactive,11736754.97,6977620.003
PD250031163,SHOPLIFTING,Property,5/23/2025 3:47 下午,,11000 SUDLEY MANOR DR,Arrest,11763143.7,6970932.753
PD250018241,SHOPLIFTING,Property,5/23/2025 3:35 下午,,8300 SUDLEY RD,Arrest,11767196.98,6966790.867
PD250018243,SHOPLIFTING,Property,5/23/2025 3:35 下午,,8300 SUDLEY RD,Arrest,11767196.98,6966790.867
PD250018675,THEFT FROM BUILDING,Property,5/23/2025 3:30 下午,5/23/2025 5:00 下午,13000 WORTH AVE,Inactive,11827073.86,6922398.802
PD250300537,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,5/23/2025 3:00 下午,5/23/2025 7:30 下午,16000 PLUMAGE EAGLE ST,Inactive,11824029.81,6902698.34
PD250018280,SIMPLE ASSAULT,Violent,5/23/2025 2:55 下午,,2700 POTOMAC MILLS CIR,Inactive,11826041.73,6918486.143
PD250018239,SHOPLIFTING,Property,5/23/2025 2:54 下午,,2700 POTOMAC MILLS CIR,Arrest,11826041.73,6918486.143
PD250018235,SIMPLE ASSAULT,Violent,5/23/2025 2:40 下午,,2700 POTOMAC MILLS CIR,Arrest,11826041.73,6918486.143
PD250018238,SIMPLE ASSAULT,Violent,5/23/2025 2:10 下午,,15000 FOREST PARK DR,Arrest,11805618.43,6908775.834
PD250018230,IDENTITY THEFT,Property,5/23/2025 2:02 下午,,13000 RICHMOND HWY,Arrest,11808907.66,6874800.458
PD250018535,MOTOR VEHICLE THEFT,Property,5/23/2025 2:00 下午,5/25/2025 2:00 下午,16000 BLACKJACK OAK LN,Inactive,11824994.06,6900094.56
PD250018223,DRUG/NARCOTIC VIOLATION,Quality of Life,5/23/2025 1:00 下午,,10000 LOMOND DR,Exception,11768949.22,6970348.358
PD250018590,CREDIT CARD/ATM FRAUD,Property,5/23/2025 12:00 下午,,14000 MADRIGAL DR,Inactive,11820703.7,6921868.177
PD250018232,SHOPLIFTING,Property,5/23/2025 11:36 上午,,7900 STONEWALL SHOPS SQ,Inactive,11725153.54,6970306.566
PD250018386,SHOPLIFTING,Property,5/23/2025 11:19 上午,,13000 GATEWAY CENTER DR,Inactive,11738631.13,6973200.128
PD250018215,DRUG/NARCOTIC VIOLATION,Quality of Life,5/23/2025 11:00 上午,,14000 POTOMAC MILLS RD,Arrest,11827370.4,6918526.736
PD250300542,SHOPLIFTING,Property,5/23/2025 10:46 上午,5/23/2025 10:49 上午,4200 CHESHIRE PLZ,Inactive,11752949.52,6954861.771
PD250018202,SHOPLIFTING,Property,5/23/2025 9:06 上午,,13000 WORTH AVE,Arrest,11827073.86,6922398.802
PD250018200,TRESPASS OF REAL PROPERTY,Quality of Life,5/23/2025 8:55 上午,,11000 GOLDEN LEAF CIR,Inactive,11758950.36,6971447.029
PD250018197,SIMPLE ASSAULT,Violent,5/23/2025 7:54 上午,,1200 BAYSIDE AVE,Inactive,11837216.52,6920981.128
PD250018809,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,5/23/2025 7:30 上午,,12000 DUMFRIES RD,Inactive,11784806.51,6937593.726
PD250018253,SHOPLIFTING,Property,5/23/2025 7:22 上午,,14000 WORTH AVE,Inactive,11827066.63,6921188.149
PD250018191,SIMPLE ASSAULT,Violent,5/23/2025 6:46 上午,,8000 LACY DR,Exception,11760070.12,6969411.439
PD250300545,THEFT FROM MOTOR VEHICLE,Property,5/23/2025 4:00 上午,5/23/2025 4:10 上午,13000 PHOTO DR,Inactive,11802024.95,6926548.402
PD250018192,MOTOR VEHICLE THEFT,Property,5/23/2025 2:19 上午,,16000 MILL STATION WAY,Inactive,11816657.65,6899324.68
PD250018187,DRUG/NARCOTIC VIOLATION,Quality of Life,5/23/2025 1:40 上午,,2800 BOWES LN,Arrest,11825659,6917299.231
PD250018188,DRIVING UNDER THE INFLUENCE,Quality of Life,5/23/2025 12:00 上午,,Cardinal Dr / Richmond Hwy,Arrest,11828267.53,6907051.326
PD250018214,WEAPON LAW VIOLATION,Quality of Life,5/23/2025 12:00 上午,5/23/2025 11:40 上午,1600 PRINCE WILLIAM PKWY,Exception,11836205.21,6922480.74
PD250018224,WIRE FRAUD,Property,5/23/2025 12:00 上午,,13000 LONGWOOD MANOR CT,Inactive,11832548.65,6923053.458
PD250018248,DRIVING UNDER THE INFLUENCE,Quality of Life,5/23/2025 12:00 上午,,14000 BARKSDALE ST,Arrest,11820863.73,6915276.267
PD250018275,DISORDERLY CONDUCT,Quality of Life,5/23/2025 12:00 上午,,8100 BARNWOOD RD,Arrest,11783468.6,6956575.779
PD250018283,DISORDERLY CONDUCT,Quality of Life,5/23/2025 12:00 上午,,8100 WEATHERWOOD CT,Arrest,11760720.57,6968753.389
PD250018284,DRIVING UNDER THE INFLUENCE,Quality of Life,5/23/2025 12:00 上午,,University Blvd / Hornbaker Rd,Arrest,11758376.16,6959080.455
PD250019640,IDENTITY THEFT,Property,5/23/2025 12:00 上午,5/26/2025 12:00 上午,13000 CARAPACE CT,Inactive,11798228.5,6927116.401
PD250020855,MOTOR VEHICLE THEFT,Property,5/23/2025 12:00 上午,,14000 RICHMOND HWY,Unfounded,11836714.04,6921921.867
PD250026656,IDENTITY THEFT,Property,5/23/2025 12:00 上午,,16000 HARWOOD OAKS CT,Inactive,11823019.83,6900690.048
PD250018199,THEFT FROM MOTOR VEHICLE,Property,5/22/2025 11:27 下午,5/23/2025 8:00 上午,7600 DUNEIDEN LN,Inactive,11764689.93,6973002.077
PD250300536,THEFT FROM MOTOR VEHICLE,Property,5/22/2025 11:00 下午,5/23/2025 5:00 上午,13000 WORTH AVE,Inactive,11827073.86,6922398.802
PD250018196,BURGLARY,Property,5/22/2025 10:59 下午,5/22/2025 11:08 下午,14000 DAVES STORE LN,Inactive,11736484.44,6974849.465
PD250018260,ROBBERY,Property,5/22/2025 9:36 下午,5/22/2025 9:46 下午,4200 OLD BRIDGE RD,Inactive,11815603.14,6930276.863
PD250300538,SHOPLIFTING,Property,5/22/2025 9:13 下午,5/22/2025 9:14 下午,7500 LINTON HALL RD,Inactive,11736427.34,6973197.783
PD250018171,WEAPON LAW VIOLATION,Quality of Life,5/22/2025 8:45 下午,,14000 SMOKETOWN RD,Arrest,11825083.62,6920228.059
PD250018169,DISORDERLY CONDUCT,Quality of Life,5/22/2025 8:37 下午,,8300 SUDLEY RD,Arrest,11767196.98,6966790.867
PD250018168,ROBBERY,Property,5/22/2025 8:35 下午,,2700 POTOMAC MILLS CIR,Inactive,11826041.73,6918486.143
PD250018198,MOTOR VEHICLE THEFT,Property,5/22/2025 8:14 下午,5/23/2025 5:58 上午,13000 PRINCEDALE DR,Inactive,11801387.66,6925995.484
PD250018164,MOTOR VEHICLE THEFT,Property,5/22/2025 8:00 下午,,15000 AMBERGATE DR,Arrest,11816681.56,6910457.216
PD250018165,SHOPLIFTING,Property,5/22/2025 7:07 下午,,10000 NOKESVILLE RD,Inactive,11769469.54,6957914.396
PD250018158,SHOPLIFTING,Property,5/22/2025 6:58 下午,,7900 STONEWALL SHOPS SQ,Inactive,11725153.54,6970306.566
PD250018155,SHOPLIFTING,Property,5/22/2025 6:21 下午,5/22/2025 6:26 下午,2200 OLD BRIDGE RD,Inactive,11831030.99,6932398.073
PD250031162,SHOPLIFTING,Property,5/22/2025 6:20 下午,,11000 SUDLEY MANOR DR,Arrest,11763143.7,6970932.753
PD250018156,SIMPLE ASSAULT,Violent,5/22/2025 6:05 下午,,10000 LOMOND DR,Exception,11768949.22,6970348.358
PD250018689,THEFT FROM MOTOR VEHICLE,Property,5/22/2025 6:00 下午,5/23/2025 8:30 上午,13000 WORTH AVE,Inactive,11827073.86,6922398.802
PD250300539,SHOPLIFTING,Property,5/22/2025 5:49 下午,5/22/2025 5:51 下午,14000 SMOKETOWN RD,Inactive,11825083.62,6920228.059
PD250018150,SIMPLE ASSAULT,Violent,5/22/2025 5:30 下午,,8300 SUDLEY RD,Inactive,11767196.98,6966790.867
PD250019594,SHOPLIFTING,Property,5/22/2025 5:26 下午,,5300 DALE BLVD,Inactive,11806391.17,6925250.26
PD250018167,SIMPLE ASSAULT,Violent,5/22/2025 5:00 下午,,7500 WHITEHALL DR,Inactive,11778742.1,6973202.252
PD250018650,THEFT FROM MOTOR VEHICLE,Property,5/22/2025 5:00 下午,5/27/2025 4:10 上午,Aaron Ln / Cass Pl,Inactive,11760208.48,6972385.491
PD250019505,SHOPLIFTING,Property,5/22/2025 4:13 下午,,13000 GATEWAY CENTER DR,Arrest,11738631.13,6973200.128
PD250020214,SIMPLE ASSAULT,Violent,5/22/2025 4:00 下午,5/22/2025 11:59 下午,14000 BAY VISTA DR,Inactive,11838343.76,6921590.532
PD250300532,SHOPLIFTING,Property,5/22/2025 3:55 下午,5/22/2025 3:58 下午,14000 SMOKETOWN RD,Inactive,11825083.62,6920228.059
PD250018131,SIMPLE ASSAULT,Violent,5/22/2025 3:30 下午,,8300 SUDLEY RD,Exception,11767196.98,6966790.867
PD250018136,DRUG/NARCOTIC VIOLATION,Quality of Life,5/22/2025 3:30 下午,,9300 LEE AVE,Active,11774274.01,6958467.993
PD250018141,BURGLARY,Property,5/22/2025 3:23 下午,,13000 SENEA DR,Exception,11739569.06,6970394.524
PD250018123,SHOPLIFTING,Property,5/22/2025 2:30 下午,,14000 DINING WAY,Inactive,11828436.27,6915427.116
PD250018140,"FAMILY OFFENSES, NONVIOLENT",Quality of Life,5/22/2025 2:00 下午,,5300 SHAMUS CT,Exception,11806224.41,6917889.23
PD250018181,ALL OTHER LARCENY,Property,5/22/2025 2:00 下午,,Potomac Center Blvd / River Rock Way,Inactive,11830146.24,6913862.985
PD250018389,ANIMAL CRUELTY,Quality of Life,5/22/2025 2:00 下午,,13000 PHOTO DR,Inactive,11802024.95,6926548.402
PD250018149,WEAPON LAW VIOLATION,Quality of Life,5/22/2025 1:10 下午,,9300 LEE AVE,Arrest,11774274.01,6958467.993
PD250018113,SHOPLIFTING,Property,5/22/2025 12:36 下午,5/22/2025 12:42 下午,14000 WORTH AVE,Inactive,11827066.63,6921188.149
PD250300564,CREDIT CARD/ATM FRAUD,Property,5/22/2025 12:28 下午,5/22/2025 12:28 下午,13000 HEATHCOTE BLVD,Inactive,11725856.98,6984471.707
PD250018111,SIMPLE ASSAULT,Violent,5/22/2025 12:25 下午,,8000 LIMESTONE DR,Inactive,11739749.6,6969806.666
PD250300531,SHOPLIFTING,Property,5/22/2025 12:13 下午,5/22/2025 12:15 下午,14000 SMOKETOWN RD,Inactive,11825083.62,6920228.059
PD250030216,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,Property,5/22/2025 12:00 下午,8/22/2025 12:00 下午,12000 ARMADA PL,Inactive,11826803.24,6933333.894
PD250018212,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,5/22/2025 11:18 上午,,1900 DANIEL STUART SQ,Arrest,11833124.73,6915128.753
PD250019723,"FAMILY OFFENSES, NONVIOLENT",Quality of Life,5/22/2025 11:09 上午,5/22/2025 11:17 上午,16000 BOATSWAIN CIR,Unfounded,11830211.16,6903079.582
PD250018665,THEFT FROM MOTOR VEHICLE,Property,5/22/2025 10:00 上午,5/22/2025 10:10 上午,14000 BAY VISTA DR,Inactive,11838343.76,6921590.532
PD250300565,THEFT FROM MOTOR VEHICLE,Property,5/22/2025 10:00 上午,5/22/2025 1:00 下午,7200 HERITAGE VILLIAGE PLZ,Inactive,11738651.04,6976774.771
PD250018098,THEFT FROM BUILDING,Property,5/22/2025 7:00 上午,5/22/2025 11:08 上午,14000 WESTMINISTER LN,Arrest,11813337.66,6919103.779
PD250020560,THEFT FROM BUILDING,Property,5/22/2025 7:00 上午,5/22/2025 11:00 上午,14000 WESTMINISTER LN,Inactive,11813337.66,6919103.779
PD250030424,DISORDERLY CONDUCT,Quality of Life,5/22/2025 6:45 上午,,Carrick Dr / Wentworth Green Dr,Arrest,11738910.06,6970624.908
PD250018068,SIMPLE ASSAULT,Violent,5/22/2025 6:00 上午,,14000 FEATHERSTONE RD,Arrest,11834437.5,6917332.844
PD250018066,WEAPON LAW VIOLATION,Quality of Life,5/22/2025 4:11 上午,,7400 HILLWOOD DR,Arrest,11735063.96,6974108.603
PD250018067,WEAPON LAW VIOLATION,Quality of Life,5/22/2025 4:11 上午,,7400 HILLWOOD DR,Arrest,11735063.96,6974108.603
PD250018064,SIMPLE ASSAULT,Violent,5/22/2025 3:31 上午,,13000 RICHMOND HWY,Inactive,11808907.66,6874800.458
PD250018061,SIMPLE ASSAULT,Violent,5/22/2025 1:00 上午,,2800 BOWES LN,Inactive,11825659,6917299.231
PD250018058,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,5/22/2025 12:00 上午,,7500 BLAND DR,Inactive,11768144.64,6973255.467
PD250018127,DISORDERLY CONDUCT,Quality of Life,5/22/2025 12:00 上午,,16000 RIVER RIDGE BLVD,Arrest,11824177.26,6899387.157
PD250018160,SHOPLIFTING,Property,5/22/2025 12:00 上午,,14000 WORTH AVE,Inactive,11827066.63,6921188.149
PD250018161,DRIVING UNDER THE INFLUENCE,Quality of Life,5/22/2025 12:00 上午,,Minnieville Rd / Smoketown Rd,Arrest,11823483.03,6924048.699
PD250018180,DISORDERLY CONDUCT,Quality of Life,5/22/2025 12:00 上午,,3600 FELMORE CT,Arrest,11820123.57,6916304.721
PD250018182,DISORDERLY CONDUCT,Quality of Life,5/22/2025 12:00 上午,,14000 SHOPPERS BEST WAY,Arrest,11825960.79,6922040.042
PD250018221,AGGRAVATED ASSAULT,Violent,5/22/2025 12:00 上午,,14000 GIDEON DR,Arrest,11824652.86,6913639.871
PD250018667,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,5/22/2025 12:00 上午,,8300 YORKSHIRE LN,Inactive,11782864.21,6973696.087
PD250042055,WIRE FRAUD,Property,5/22/2025 12:00 上午,10/10/2025 12:00 上午,3900 SOLSTICE LN,Inactive,11818903.67,6901866.947
PD250018057,SIMPLE ASSAULT,Violent,5/21/2025 11:00 下午,,4300 WELSH LN,Inactive,11813727.47,6919384.933
PD250018051,SIMPLE ASSAULT,Violent,5/21/2025 10:30 下午,,3300 BRADFORD ST,Arrest,11822411.34,6918973.042
PD250018071,THEFT FROM MOTOR VEHICLE,Property,5/21/2025 10:01 下午,5/22/2025 5:59 上午,7600 MONITOR CT,Inactive,11761925.83,6971811.535
PD250018043,SIMPLE ASSAULT,Violent,5/21/2025 9:30 下午,,4300 INN ST,Inactive,11814685.7,6884757.37
PD250018035,DRUG/NARCOTIC VIOLATION,Quality of Life,5/21/2025 9:28 下午,,Richmond Hwy / Wayside Dr,Inactive,11822462.1,6895926.022
PD250018040,AGGRAVATED ASSAULT,Violent,5/21/2025 9:24 下午,,3400 BELLEPLAIN CT,Arrest,11821565.82,6899061.884
PD250018034,SHOPLIFTING,Property,5/21/2025 8:39 下午,,14000 DINING WAY,Inactive,11828436.27,6915427.116
PD250018044,SIMPLE ASSAULT,Violent,5/21/2025 8:37 下午,,8200 ROXBOROUGH LOOP,Unfounded,11725072.72,6968291.892
PD250018032,DRUG/NARCOTIC VIOLATION,Quality of Life,5/21/2025 8:30 下午,,2000 DANIEL STUART SQ,Arrest,11832612.77,6915575.63
PD250300529,THEFT FROM MOTOR VEHICLE,Property,5/21/2025 8:10 下午,5/22/2025 6:30 上午,14000 FOX GLOVE CT,Inactive,11820447.87,6916169.096
PD250018073,THEFT FROM MOTOR VEHICLE,Property,5/21/2025 8:00 下午,5/22/2025 7:50 上午,11000 EDGEPARK CIR,Inactive,11760945,6968423.254
PD250018025,SIMPLE ASSAULT,Violent,5/21/2025 6:25 下午,,15000 ROYAL CREST DR,Exception,11727715.16,6992592.867
PD250018026,SIMPLE ASSAULT,Violent,5/21/2025 6:10 下午,,12000 WOODLAWN CT,Inactive,11826308.03,6935317.73
PD250018039,SIMPLE ASSAULT,Violent,5/21/2025 6:00 下午,,3600 ELM FARM RD,Arrest,11820346.9,6925757.771
PD250018045,SIMPLE ASSAULT,Violent,5/21/2025 6:00 下午,,3600 ELM FARM RD,Arrest,11820346.9,6925757.771
PD250018016,THEFT FROM MOTOR VEHICLE,Property,5/21/2025 5:44 下午,,14000 COVE LANDING DR,Inactive,11838598.56,6920973.465
PD250018019,MURDER & NONNEGLIGENT MANSLAUGHTER,Violent,5/21/2025 5:10 下午,,14000 SMOKETOWN RD,Arrest,11825083.62,6920228.059
PD250018017,ALL OTHER LARCENY,Property,5/21/2025 5:00 下午,,14000 KRISTIN CT,Inactive,11838231.66,6921145.506
PD250018090,MOTOR VEHICLE THEFT,Property,5/21/2025 5:00 下午,,16000 THOROUGHFARE RD,Arrest,11719961.45,6974924.022
PD250018621,PORNOGRAPHY/OBSCENE MATERIAL,Quality of Life,5/21/2025 5:00 下午,5/25/2025 12:00 上午,14000 ARKANSAS ST,Unfounded,11836793.37,6915327.809
PD250018226,WIRE FRAUD,Property,5/21/2025 3:36 下午,5/23/2025 11:46 上午,6700 SELBOURNE LN,Inactive,11733802.11,6981022.412
PD250300525,SHOPLIFTING,Property,5/21/2025 1:32 下午,5/21/2025 1:32 下午,7500 LINTON HALL RD,Inactive,11736427.34,6973197.783
PD250018000,SHOPLIFTING,Property,5/21/2025 1:11 下午,,14000 SHOPPERS BEST WAY,Arrest,11825960.79,6922040.042
PD250018115,EMBEZZLEMENT,Property,5/21/2025 1:00 下午,,14000 DEMING DR,Inactive,11731217.23,6973696.558
PD250018022,AGGRAVATED ASSAULT,Violent,5/21/2025 12:00 下午,,3700 MAINSAIL CV,Arrest,11819318.94,6888697.928
PD250018010,SHOPLIFTING,Property,5/21/2025 11:55 上午,,10000 BULLOCH DR,Arrest,11759757.41,6976657.367
PD250018097,SIMPLE ASSAULT,Violent,5/21/2025 11:00 上午,,1700 SEMPER FIDELIS WAY,Unfounded,11815155.92,6882902.421
PD250017963,SHOPLIFTING,Property,5/21/2025 10:00 上午,,2500 CATON HILL RD,Arrest,11828449.48,6924326.498
PD250018692,SIMPLE ASSAULT,Violent,5/21/2025 10:00 上午,,15000 BOWMANS FOLLY DR,Inactive,11798706.79,6911139.819
PD250018695,SIMPLE ASSAULT,Violent,5/21/2025 9:40 上午,,4000 PRINCE WILLIAM PKWY,Arrest,11816751.64,6927624.098
PD250025923,SHOPLIFTING,Property,5/21/2025 9:00 上午,,4300 FORTUNA CENTER PLZ,Arrest,11816257.04,6902983.055
PD250017952,SIMPLE ASSAULT,Violent,5/21/2025 8:43 上午,,14000 FISHER AVE,Arrest,11837844.99,6920537.99
PD250018106,AGGRAVATED ASSAULT,Violent,5/21/2025 7:04 上午,,3000 OLD BRIDGE RD,Inactive,11824994.02,6934194.426
PD250018183,THEFT FROM MOTOR VEHICLE,Property,5/21/2025 3:00 上午,,14000 ANDERSON ST,Inactive,11823850.71,6916135.957
